X,Y,Z
3.27074,-2.93177,1.54744
3.24079,-2.94098,1.54189
3.21294,-2.95185,1.53733
3.17886,-2.9567,1.52982
3.01579,-2.8748,1.46944
2.94982,-2.84663,1.44626
2.76804,-2.70412,1.36695
2.72788,-2.69778,1.35552
2.6859,-2.68905,1.34312
3.33435,-3.37989,1.67017
2.65798,-2.72722,1.34573
2.70714,-2.95385,1.41428
2.56277,-2.83092,1.34932
2.56929,-2.87337,1.36173
2.75302,-3.11727,1.46682
2.99472,-3.43335,1.60391
2.93228,-3.40367,1.58204
2.61985,-3.07885,1.42668
3.0143,-3.58706,1.64863
2.99586,-3.60985,1.65058
2.89758,-3.5353,1.60913
2.87167,-3.54787,1.60685
2.77492,-3.47163,1.5654
2.78167,-3.52421,1.58106
3.17822,-4.07811,1.81607
2.9912,-3.887,1.72435
1.89997,-2.49987,1.11497
1.86192,-2.48123,1.10192
1.85059,-2.49793,1.1042
2.96462,-4.05463,1.76515
2.98891,-4.14097,1.7942
3.00511,-4.21775,1.819
3.02158,-4.29643,1.84446
3.01725,-4.34673,1.85784
2.91469,-4.25441,1.8115
2.89752,-4.28553,1.81704
1.60255,-2.40092,1.0275
1.59299,-2.4186,1.03076
1.56422,-2.40693,1.02195
1.53608,-2.42834,1.02293
1.54915,-2.48264,1.04121
2.02408,-3.28922,1.36434
1.98229,-3.26601,1.34998
1.5852,-2.64782,1.09637
1.91373,-3.24206,1.33072
1.9399,-3.333,1.36238
1.78164,-3.10458,1.26675
1.73186,-3.06115,1.2452
1.76917,-3.17245,1.28502
1.62772,-2.96121,1.19755
1.63607,-3.02018,1.21681
1.6402,-3.0727,1.23345
1.61252,-3.06597,1.22693
1.47243,-2.84161,1.13586
1.30553,-2.55755,1.02228
1.38484,-2.75473,1.09539
1.37965,-2.7869,1.10453
1.24115,-2.58627,1.0213
1.48705,-3.14863,1.23313
1.44859,-3.11654,1.21746
1.05858,-2.31379,0.909345
1.46992,-3.26685,1.26772
1.6666,-3.76597,1.45279
0.914035,-2.09884,0.821219
0.899281,-2.10006,0.819587
0.889309,-2.11251,0.822198
0.878496,-2.12317,0.824156
1.5094,-3.7146,1.41525
1.46312,-3.66497,1.39339
1.4375,-3.66596,1.39045
1.4031,-3.64383,1.37902
1.31926,-3.48967,1.31897
1.35006,-3.63862,1.37086
1.24597,-3.42209,1.28829
1.14808,-3.21423,1.2093
1.00971,-2.88218,1.08527
1.10559,-3.28499,1.22758
1.02775,-3.11665,1.16393
0.899473,-2.8442,1.06079
0.907963,-2.93365,1.09115
0.890766,-2.94188,1.09213
0.779695,-2.63275,0.978867
0.75329,-2.60207,0.966137
0.673604,-2.38105,0.885192
0.881184,-3.26902,1.19983
0.843103,-3.2058,1.17536
0.803955,-3.13491,1.14826
0.7696,-3.07926,1.12672
0.750245,-3.08208,1.12607
0.697595,-2.94405,1.07548
0.693293,-3.00815,1.09669
0.657931,-3.02382,1.09931
0.689465,-3.26551,1.18319
0.602037,-2.93999,1.06699
0.506151,-2.72565,0.988006
0.464144,-2.68229,0.970707
0.4545,-2.72611,0.985068
0.519145,-3.23753,1.16295
0.500993,-3.25187,1.16687
0.411506,-2.90679,1.04447
0.346273,-2.55798,0.922074
0.29441,-2.39503,0.863976
0.282655,-2.42214,0.872789
0.274298,-2.48303,0.893352
